original_path,source_category,assigned_category,new_path,status,duplicate_of,width,height,bytes
images/labaguettedenormandy.com/wp-content/uploads/2018/05/caketroischocolates2016--8b70da919a.png,other,cakes,_duplicates/cakes/three-chocolate-cake--duplicate-1.png,duplicate-alternate,cakes/three-chocolate-cake.png,640,480,42876
images/labaguettedenormandy.com/wp-content/gallery/buches/100-0032_IMG--3d5d40e4be.jpg,buches,cakes,cakes/assorted-holiday-buches.jpg,canonical,,640,480,65666
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/Black-forest-6p--a64ed12e3f.jpg,daily-choice,cakes,cakes/black-forest-6p.jpg,canonical,,1080,810,152786
images/labaguettedenormandy.com/wp-content/gallery/cakes/cakeblackforest2016--f8bcf99a88.png,cakes,cakes,cakes/black-forest-cake.png,canonical,,640,480,50622
images/labaguettedenormandy.com/wp-content/gallery/buches/Bois-Normand--0e3a1fda64.jpg,buches,cakes,cakes/bois-normand.jpg,canonical,,1200,900,281632
images/labaguettedenormandy.com/wp-content/gallery/buches/Buche-Grand-Marnier1--d36a95a8f2.jpg,buches,cakes,cakes/buche-grand-marnier.jpg,canonical,,1080,810,167479
images/labaguettedenormandy.com/wp-content/gallery/buches/Buche-Menu--b388338960.png,buches,cakes,cakes/buche-menu.png,canonical,,611,787,62016
images/labaguettedenormandy.com/wp-content/gallery/buches/buchedenoel8--a02eafce23.jpg,buches,cakes,cakes/chocolate-buche-de-noel.jpg,canonical,,480,640,88338
images/labaguettedenormandy.com/wp-content/gallery/cakes/chocolategrandmarnier--25cfc1085b.jpg,cakes,cakes,cakes/chocolate-grand-marnier-cake.jpg,canonical,,641,480,93675
images/labaguettedenormandy.com/wp-content/gallery/cakes/chocolatemochacake--a2585374a8.jpg,cakes,cakes,cakes/chocolate-mocha-cake.jpg,canonical,,641,480,41618
images/labaguettedenormandy.com/wp-content/gallery/buches/100-0036_IMG--064b274c81.jpg,buches,cakes,cakes/chocolate-vanilla-buche.jpg,canonical,,480,640,65154
images/labaguettedenormandy.com/wp-content/gallery/cakes/IMG_0392-7--8562d9cd41.jpg,cakes,cakes,cakes/decorated-chocolate-cake.jpg,canonical,,2448,2448,367280
images/labaguettedenormandy.com/wp-content/uploads/2020/12/duo-buche-scaled--e8eaebf017.jpg,other,cakes,cakes/duo-buche.jpg,canonical,,1477,1024,164588
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/Forestier-Cake-6p--6f42e4a043.jpg,daily-choice,cakes,cakes/forestier-cake-6p.jpg,canonical,,1080,810,200654
images/labaguettedenormandy.com/wp-content/gallery/cakes/cakeforestier--b154fbe79a.png,cakes,cakes,cakes/forestier-cake.png,canonical,,640,480,189334
images/labaguettedenormandy.com/wp-content/gallery/cakes/cakefraisier--c437d7bcf7.png,cakes,cakes,cakes/fraisier-cake.png,canonical,,640,480,196043
images/labaguettedenormandy.com/wp-content/gallery/cakes/cakefraisierwithcremebrulee--c246834ed4.png,cakes,cakes,cakes/fraisier-creme-brulee-cake.png,canonical,,640,480,204731
